id,name,nrate,pic_url,nrating_pages,minplayers,maxplayers,minage,mean_rating,weight,categories,mechanics,f_0,f_1,f_2,f_3,f_4
172225,Exploding Kittens,15138,https://cf.geekdo-images.com/micro/img/4EPl6jfpHSrdPwug7wh3rgSeoiE=/fit-in/64x64/pic2691976.png,151,2,5,7,5.96856,1.0757,"Animals,Card Game,Comic Book / Strip,Humor","Hand Management,Player Elimination,Push Your Luck,Set Collection,Take That",2.5053632753590898,1.5897617544961216,-2.9881459280493425,1.864021049876552,2.6867123756486597
172386,Mombasa,9130,https://cf.geekdo-images.com/micro/img/_Ejih1iORSviIe6HxVD8sb-A0s8=/fit-in/64x64/pic2611318.jpg,91,2,4,12,7.917999999999999,3.8976,Economic,"Action Queue,Area Majority / Influence,Card Drafting,Deck, Bag, and Pool Building,Hand Management,Simultaneous Action Selection,Stock Holding,Variable Player Powers,Worker Placement",-1.2450472622826962,-0.4472253652793856,0.8045723842427426,-0.9078437919101557,1.4752945387125118
172818,Above and Below,10672,https://cf.geekdo-images.com/micro/img/_rwWp6MnmT3nZeaew04pTPhw0Ig=/fit-in/64x64/pic2398773.jpg,106,2,4,13,7.48568,2.5304,"Adventure,City Building,Economic,Exploration,Fantasy,Farming,Negotiation","Action Points,Card Drafting,Deck, Bag, and Pool Building,Dice Rolling,Narrative Choice / Paragraph,Set Collection,Storytelling,Trading",-0.6995597800830017,1.4139682583476314,-0.8989156755477666,-0.46546718876038673,-0.35887750255055295
173346,7 Wonders Duel,43854,https://cf.geekdo-images.com/micro/img/Qbt8Cjwt_skp-UKi5bDGxYTg45w=/fit-in/64x64/pic3376065.jpg,438,2,2,10,8.11444,2.2234,"Ancient,Card Game,City Building,Civilization","Card Drafting,Drafting,Set Collection,Sudden Death Ending,Tug of War",-1.4493145022709155,-0.44306137873697404,-1.4079741932875516,-0.45412571206805674,0.3917613959388151
175914,Food Chain Magnate,10554,https://cf.geekdo-images.com/micro/img/CCu3tT9vVgKLM2AdF-CC-Vie9e8=/fit-in/64x64/pic2649434.png,105,2,5,14,8.18702,4.1893,"Economic,Industry / Manufacturing","Card Drafting,Deck, Bag, and Pool Building,Modular Board,Network and Route Building,Simultaneous Action Selection",-1.4644286576305086,-1.292665909373247,1.1206792170734161,1.8644535533635873,-1.3478437329752357
176189,Zombicide: Black Plague,10256,https://cf.geekdo-images.com/micro/img/8LslQoojsU5G5x0fvxkBydVMZKc=/fit-in/64x64/pic2482309.jpg,102,1,6,14,7.724069999999999,2.5451,"Adventure,Fantasy,Fighting,Horror,Medieval,Miniatures,Zombies","Cooperative Game,Dice Rolling,Modular Board,Variable Player Powers",-0.620232388703215,2.768860270403364,-1.0404131637603862,1.0461413125712005,0.6425465871669676
176396,Quadropolis,9181,https://cf.geekdo-images.com/micro/img/kCFmq8X0v3fIBfkloJejaainNpM=/fit-in/64x64/pic2840020.jpg,91,2,4,8,7.3342,2.2083,"City Building,Environmental","Hand Management,Pattern Building,Set Collection,Tile Placement",-0.39213655769673567,-0.2914076021630675,-0.2558804209164206,-0.6161824771780907,1.0977434160333368
176494,Isle of Skye: From Chieftain to King,16570,https://cf.geekdo-images.com/micro/img/hFWkZUW6BeIK7OBXWuH5WEPmAr0=/fit-in/64x64/pic2524838.jpg,165,2,5,8,7.454269999999999,2.2381,"Economic,Territory Building","Auction/Bidding,Catch the Leader,Set Collection,Tile Placement",-0.4387066719910395,-0.9342073095196666,-0.9332255009778213,-0.47357007664259276,1.2479418747922262
177736,A Feast for Odin,12404,https://cf.geekdo-images.com/micro/img/1V5da2Inidd8GOONuNsjDxj6Epw=/fit-in/64x64/pic3146943.png,124,1,4,12,8.17963,3.8265,"Economic,Industry / Manufacturing,Medieval,Puzzle","Automatic Resource Growth,Income,Push Your Luck,Tile Placement,Turn Order: Pass Order,Worker Placement",-1.4830750127942052,0.3038500018077971,0.5655656454004677,-0.4977357232509477,2.3451090276643907
178900,Codenames,53977,https://cf.geekdo-images.com/micro/img/3Ihe0IBw2D48rOjQHaGRkxAEnQo=/fit-in/64x64/pic2582929.jpg,539,2,8,14,7.68495,1.3069,"Card Game,Deduction,Party Game,Spies/Secret Agents,Word Game","Communication Limits,Memory,Push Your Luck,Team-Based Game",-1.0766353549081733,-0.9694730348151044,-0.9063962881195657,1.0865843679609528,-0.6083040254916096
